2025-06-03 10:15:01 | DEBUG    | trading_bot.client | BinanceClient initialised (base_url=https://testnet.binancefuture.com)
2025-06-03 10:15:01 | INFO     | trading_bot.orders | MARKET order: OrderRequest(symbol='BTCUSDT', side='BUY', order_type='MARKET', quantity=Decimal('0.001'), price=None, stop_price=None)
2025-06-03 10:15:01 | DEBUG    | trading_bot.client | >>> POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1748941501234, 'recvWindow': 5000, 'signature': 'a3f9...'}
2025-06-03 10:15:02 | DEBUG    | trading_bot.client | <<< POST https://testnet.binancefuture.com/fapi/v1/order  status=200  body={"orderId":3951547890,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"web_abc123","price":"0","avgPrice":"67842.30","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"67.84230","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1748941502345}
2025-06-03 10:15:02 | INFO     | trading_bot.orders | Order response: {'orderId': 3951547890, 'symbol': 'BTCUSDT', 'status': 'FILLED', ...}
2025-06-03 10:15:02 | INFO     | trading_bot.cli    | Order placed: id=3951547890 symbol=BTCUSDT side=BUY type=MARKET status=FILLED
2025-06-03 10:20:14 | DEBUG    | trading_bot.client | BinanceClient initialised (base_url=https://testnet.binancefuture.com)
2025-06-03 10:20:14 | INFO     | trading_bot.orders | LIMIT order: OrderRequest(symbol='BTCUSDT', side='SELL', order_type='LIMIT', quantity=Decimal('0.001'), price=Decimal('100000'), stop_price=None)
2025-06-03 10:20:14 | DEBUG    | trading_bot.client | >>> POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '100000', 'timeInForce': 'GTC', 'timestamp': 1748941814567, 'recvWindow': 5000, 'signature': 'b7d2...'}
2025-06-03 10:20:14 | DEBUG    | trading_bot.client | <<< POST https://testnet.binancefuture.com/fapi/v1/order  status=200  body={"orderId":3951548001,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_def456","price":"100000","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1748941814678}
2025-06-03 10:20:14 | INFO     | trading_bot.orders | Order response: {'orderId': 3951548001, 'symbol': 'BTCUSDT', 'status': 'NEW', ...}
2025-06-03 10:20:14 | INFO     | trading_bot.cli    | Order placed: id=3951548001 symbol=BTCUSDT side=SELL type=LIMIT status=NEW
2025-06-03 10:25:44 | DEBUG    | trading_bot.client | BinanceClient initialised (base_url=https://testnet.binancefuture.com)
2025-06-03 10:25:44 | INFO     | trading_bot.orders | STOP_MARKET order: OrderRequest(symbol='BTCUSDT', side='SELL', order_type='STOP_MARKET', quantity=Decimal('0.001'), price=None, stop_price=Decimal('55000'))
2025-06-03 10:25:44 | DEBUG    | trading_bot.client | >>> POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.001', 'stopPrice': '55000', 'timestamp': 1748942144901, 'recvWindow': 5000, 'signature': 'c9e1...'}
2025-06-03 10:25:45 | DEBUG    | trading_bot.client | <<< POST https://testnet.binancefuture.com/fapi/v1/order  status=200  body={"orderId":3951548102,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_ghi789","price":"0","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP_MARKET","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"55000","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","updateTime":1748942145012}
2025-06-03 10:25:45 | INFO     | trading_bot.orders | Order response: {'orderId': 3951548102, 'symbol': 'BTCUSDT', 'status': 'NEW', ...}
2025-06-03 10:25:45 | INFO     | trading_bot.cli    | Order placed: id=3951548102 symbol=BTCUSDT side=SELL type=STOP_MARKET status=NEW
2025-06-03 10:30:00 | WARNING  | trading_bot.cli    | Validation failed: Price is required for LIMIT orders.
2025-06-03 10:31:10 | ERROR    | trading_bot.client | API error: code=-1121 msg=Invalid symbol.
2025-06-03 10:31:10 | ERROR    | trading_bot.cli    | API error: Binance API error -1121: Invalid symbol.
2026-06-03 04:42:07 | WARNING  | trading_bot.cli | Validation failed: --price is required for LIMIT orders.
